ParentNode [0,766] X:-320.00,320.00  Y:-320.00,320.00  Z:-320.00,320.00
mzb:308, mmb:103  X:(29.23,30.35),  Y:(-6.10,-4.78),  Z:(212.16,213.39)
mzb:309, mmb:103  X:(15.71,16.92),  Y:(-8.99,-7.99),  Z:(220.63,221.84)
mzb:310, mmb:103  X:(19.06,20.26),  Y:(-7.50,-6.50),  Z:(221.97,223.18)
mzb:311, mmb:104  X:(12.33,14.34),  Y:(-15.49,-13.99),  Z:(217.10,219.11)
mzb:312, mmb:100  X:(15.72,17.72),  Y:(-12.97,-11.98),  Z:(218.19,220.75)
mzb:313, mmb:100  X:(16.13,18.34),  Y:(-11.99,-11.00),  Z:(218.89,221.52)
mzb:314, mmb:102  X:(60.47,62.41),  Y:(-15.48,-13.98),  Z:(174.43,176.36)
mzb:315, mmb:102  X:(61.58,63.51),  Y:(-15.48,-13.98),  Z:(172.98,174.91)
mzb:316, mmb:100  X:(60.36,63.02),  Y:(-10.48,-9.49),  Z:(174.76,177.14)
mzb:317, mmb:101  X:(66.71,67.80),  Y:(-10.49,-9.49),  Z:(170.22,171.30)
mzb:318, mmb:99  X:(50.28,52.00),  Y:(-7.99,-7.33),  Z:(172.39,174.13)
mzb:319, mmb:103  X:(54.19,55.51),  Y:(-6.36,-5.36),  Z:(180.23,181.55)
mzb:320, mmb:100  X:(60.56,63.22),  Y:(-10.48,-9.49),  Z:(176.57,178.92)
mzb:321, mmb:102  X:(17.72,19.53),  Y:(-8.00,-6.50),  Z:(219.93,221.75)
mzb:322, mmb:106  X:(51.31,52.38),  Y:(-4.82,-4.38),  Z:(190.02,191.08)
mzb:323, mmb:103  X:(51.80,53.35),  Y:(-6.06,-4.79),  Z:(188.96,190.36)
mzb:324, mmb:101  X:(62.50,63.88),  Y:(-12.98,-11.98),  Z:(170.98,172.36)
mzb:325, mmb:102  X:(63.88,65.89),  Y:(-12.47,-10.97),  Z:(180.36,182.37)
mzb:326, mmb:99  X:(63.13,64.62),  Y:(-10.15,-9.49),  Z:(178.44,180.20)
mzb:327, mmb:106  X:(29.52,30.79),  Y:(-3.89,-3.43),  Z:(207.79,209.06)
mzb:328, mmb:101  X:(18.57,19.91),  Y:(-2.94,-1.94),  Z:(205.46,206.81)
mzb:329, mmb:101  X:(11.39,12.73),  Y:(-10.50,-9.50),  Z:(216.59,217.93)
mzb:330, mmb:101  X:(12.71,14.01),  Y:(-10.50,-9.50),  Z:(217.38,218.68)
mzb:331, mmb:104  X:(11.71,13.71),  Y:(-12.50,-11.00),  Z:(216.46,218.46)
mzb:332, mmb:100  X:(12.87,15.26),  Y:(-4.58,-3.59),  Z:(205.70,207.36)
mzb:333, mmb:104  X:(14.00,16.09),  Y:(-3.60,-2.10),  Z:(205.31,207.41)
mzb:334, mmb:99  X:(17.98,19.74),  Y:(-10.16,-9.50),  Z:(220.03,221.51)
mzb:335, mmb:99  X:(19.18,20.73),  Y:(-10.16,-9.50),  Z:(220.42,222.19)
mzb:336, mmb:100  X:(49.53,51.99),  Y:(-6.39,-5.40),  Z:(171.77,173.57)
mzb:337, mmb:104  X:(12.38,14.08),  Y:(-3.60,-2.10),  Z:(205.63,207.34)
mzb:338, mmb:104  X:(66.49,68.52),  Y:(-7.16,-5.66),  Z:(180.73,182.76)
mzb:339, mmb:103  X:(64.31,65.66),  Y:(-6.69,-5.69),  Z:(181.07,182.41)
mzb:342, mmb:103  X:(11.65,12.65),  Y:(-7.95,-6.95),  Z:(211.50,212.50)
mzb:343, mmb:101  X:(60.81,62.09),  Y:(-16.48,-15.48),  Z:(174.95,176.23)
mzb:344, mmb:101  X:(62.65,63.73),  Y:(-11.97,-10.97),  Z:(171.12,172.21)
mzb:345, mmb:49  X:(69.52,70.90),  Y:(-12.85,-5.46),  Z:(180.71,182.35)
mzb:346, mmb:47  X:(53.60,54.45),  Y:(-7.51,-3.11),  Z:(188.21,189.53)
mzb:347, mmb:49  X:(56.16,62.73),  Y:(-9.83,-5.69),  Z:(170.41,170.82)
mzb:348, mmb:49  X:(56.03,61.41),  Y:(-10.62,-5.66),  Z:(168.78,171.99)
mzb:349, mmb:102  X:(58.73,60.57),  Y:(-7.29,-5.79),  Z:(170.47,172.31)
mzb:350, mmb:102  X:(0.18,2.29),  Y:(-3.58,-2.08),  Z:(156.21,158.32)
mzb:351, mmb:102  X:(51.62,53.70),  Y:(-8.55,-7.05),  Z:(170.97,173.05)
mzb:352, mmb:102  X:(51.75,53.58),  Y:(-7.06,-5.56),  Z:(171.09,172.93)
mzb:353, mmb:102  X:(49.71,51.68),  Y:(-7.00,-5.50),  Z:(169.73,171.70)
mzb:354, mmb:102  X:(61.03,62.87),  Y:(-15.48,-13.98),  Z:(176.52,178.36)
mzb:355, mmb:102  X:(52.92,54.42),  Y:(-6.56,-5.06),  Z:(187.44,188.94)
mzb:356, mmb:55  X:(40.52,43.36),  Y:(-1.82,-1.29),  Z:(173.45,176.84)
mzb:357, mmb:103  X:(19.67,21.08),  Y:(-6.23,-5.23),  Z:(216.49,217.90)
mzb:358, mmb:100  X:(12.56,15.13),  Y:(-6.16,-5.18),  Z:(211.13,213.15)
mzb:359, mmb:103  X:(16.08,17.14),  Y:(-9.31,-8.31),  Z:(210.40,211.46)
mzb:360, mmb:100  X:(12.48,14.67),  Y:(-7.14,-6.15),  Z:(209.59,212.21)
mzb:361, mmb:99  X:(12.90,14.62),  Y:(-7.77,-7.11),  Z:(210.16,211.90)
mzb:362, mmb:100  X:(12.15,14.62),  Y:(-6.16,-5.18),  Z:(209.54,211.34)
mzb:363, mmb:102  X:(15.61,17.69),  Y:(-8.33,-6.83),  Z:(209.95,212.03)
mzb:364, mmb:102  X:(15.73,17.57),  Y:(-6.84,-5.34),  Z:(210.07,211.91)
mzb:365, mmb:102  X:(14.26,16.23),  Y:(-6.78,-5.28),  Z:(208.55,210.52)
mzb:366, mmb:103  X:(17.76,18.97),  Y:(-6.45,-5.45),  Z:(210.58,211.79)
mzb:367, mmb:55  X:(29.90,32.53),  Y:(-7.43,-4.44),  Z:(211.42,213.32)
mzb:368, mmb:101  X:(13.39,14.75),  Y:(-5.58,-4.58),  Z:(205.85,207.22)
mzb:369, mmb:55  X:(11.15,13.10),  Y:(-5.23,-2.04),  Z:(206.51,208.51)
mzb:370, mmb:100  X:(6.81,9.20),  Y:(-4.08,-3.09),  Z:(205.94,207.60)
mzb:371, mmb:101  X:(8.13,9.47),  Y:(-3.10,-2.10),  Z:(205.91,207.26)
mzb:372, mmb:101  X:(6.57,7.72),  Y:(-3.10,-2.10),  Z:(206.00,207.15)
mzb:375, mmb:99  X:(0.44,1.68),  Y:(-4.24,-3.58),  Z:(156.76,158.42)
mzb:376, mmb:55  X:(0.65,3.10),  Y:(-0.82,-0.62),  Z:(163.79,167.32)
mzb:378, mmb:63  X:(160.00,200.00),  Y:(-39.00,-39.00),  Z:(160.00,200.00)
mzb:379, mmb:0  X:(232.85,246.07),  Y:(-70.00,-39.12),  Z:(156.38,167.64)
mzb:380, mmb:0  X:(192.81,206.03),  Y:(-70.00,-39.12),  Z:(198.75,210.02)
mzb:381, mmb:65  X:(188.00,208.06),  Y:(-40.62,-39.00),  Z:(151.80,172.00)
mzb:382, mmb:64  X:(215.32,224.88),  Y:(-41.35,-39.00),  Z:(154.63,164.67)
mzb:383, mmb:64  X:(235.79,249.57),  Y:(-41.35,-39.00),  Z:(182.92,196.76)
mzb:384, mmb:64  X:(168.72,182.50),  Y:(-41.35,-39.00),  Z:(157.00,170.68)
mzb:385, mmb:0  X:(151.89,167.70),  Y:(-70.00,-39.12),  Z:(173.57,190.33)
mzb:386, mmb:100  X:(211.02,212.77),  Y:(-43.09,-42.10),  Z:(201.88,204.31)
mzb:387, mmb:102  X:(259.16,261.19),  Y:(-55.48,-53.98),  Z:(177.98,180.01)
mzb:388, mmb:103  X:(220.93,221.93),  Y:(-47.45,-46.45),  Z:(221.04,222.04)
mzb:389, mmb:103  X:(220.29,221.29),  Y:(-47.47,-46.47),  Z:(222.31,223.31)
mzb:390, mmb:103  X:(215.42,216.42),  Y:(-56.45,-55.45),  Z:(219.71,220.71)
mzb:391, mmb:101  X:(264.97,265.97),  Y:(-47.46,-46.46),  Z:(178.91,179.91)
mzb:392, mmb:101  X:(264.35,265.35),  Y:(-47.52,-46.52),  Z:(177.86,178.86)
mzb:393, mmb:101  X:(264.74,265.74),  Y:(-48.46,-47.46),  Z:(178.53,179.53)
mzb:394, mmb:104  X:(199.16,200.96),  Y:(-42.10,-40.60),  Z:(158.74,160.53)
mzb:395, mmb:100  X:(196.95,199.52),  Y:(-41.60,-40.61),  Z:(159.13,161.15)
mzb:396, mmb:101  X:(200.86,202.18),  Y:(-41.60,-40.60),  Z:(160.01,161.33)
mzb:397, mmb:99  X:(207.05,208.66),  Y:(-44.73,-44.07),  Z:(205.94,207.71)
mzb:398, mmb:99  X:(220.54,222.23),  Y:(-50.16,-49.50),  Z:(221.13,222.89)
mzb:399, mmb:58  X:(212.82,214.06),  Y:(-51.77,-50.19),  Z:(90.43,91.66)
mzb:400, mmb:1  X:(222.57,223.07),  Y:(-44.50,-42.04),  Z:(155.52,156.02)
mzb:401, mmb:105  X:(245.38,246.42),  Y:(-42.94,-41.98),  Z:(174.85,175.90)
mzb:402, mmb:106  X:(219.86,220.92),  Y:(-47.46,-46.48),  Z:(220.73,221.66)
mzb:403, mmb:107  X:(245.55,247.01),  Y:(-43.18,-42.96),  Z:(173.83,174.92)
mzb:404, mmb:56  X:(218.00,220.00),  Y:(-50.85,-48.00),  Z:(119.74,120.06)
mzb:405, mmb:57  X:(217.45,222.55),  Y:(-53.50,-48.00),  Z:(119.50,120.50)
mzb:406, mmb:62  X:(215.38,224.62),  Y:(-60.00,-47.58),  Z:(116.00,124.00)
mzb:407, mmb:56  X:(222.00,224.00),  Y:(-50.85,-48.00),  Z:(119.74,120.06)
mzb:408, mmb:1  X:(204.13,204.63),  Y:(-43.08,-40.62),  Z:(159.69,160.20)
mzb:409, mmb:50  X:(193.30,206.27),  Y:(-41.30,-39.00),  Z:(190.13,193.88)
mzb:410, mmb:51  X:(205.50,218.50),  Y:(-42.10,-39.00),  Z:(201.50,208.00)
mzb:411, mmb:52  X:(207.47,224.94),  Y:(-54.43,-45.50),  Z:(215.65,230.41)
mzb:412, mmb:52  X:(257.65,272.79),  Y:(-54.43,-45.50),  Z:(166.28,183.81)
mzb:413, mmb:53  X:(206.13,209.88),  Y:(-41.30,-39.00),  Z:(189.20,202.60)
mzb:414, mmb:59  X:(208.00,233.47),  Y:(-58.00,-45.00),  Z:(213.77,216.15)
mzb:415, mmb:59  X:(253.77,256.15),  Y:(-58.00,-45.00),  Z:(166.53,192.00)
mzb:416, mmb:47  X:(212.75,213.47),  Y:(-43.48,-38.99),  Z:(159.87,160.59)
mzb:417, mmb:46  X:(204.32,204.95),  Y:(-44.99,-38.99),  Z:(203.66,204.29)
mzb:418, mmb:46  X:(232.84,233.04),  Y:(-45.00,-39.00),  Z:(157.02,157.22)
mzb:419, mmb:48  X:(230.84,233.07),  Y:(-45.00,-39.00),  Z:(156.98,161.76)
mzb:420, mmb:47  X:(244.05,244.25),  Y:(-43.51,-39.00),  Z:(195.22,195.42)
mzb:421, mmb:46  X:(186.65,186.85),  Y:(-45.00,-39.00),  Z:(213.81,214.01)
mzb:422, mmb:48  X:(177.74,182.35),  Y:(-45.00,-39.00),  Z:(200.61,203.23)
mzb:423, mmb:1  X:(222.54,223.04),  Y:(-47.76,-45.30),  Z:(215.05,215.56)
mzb:424, mmb:46  X:(215.91,216.11),  Y:(-45.00,-39.00),  Z:(200.26,200.46)
mzb:425, mmb:46  X:(181.39,182.91),  Y:(-44.90,-39.00),  Z:(202.91,203.47)
mzb:426, mmb:1  X:(226.84,227.34),  Y:(-47.76,-45.30),  Z:(214.96,215.46)
mzb:427, mmb:47  X:(204.53,204.94),  Y:(-43.51,-38.99),  Z:(199.60,200.00)
mzb:428, mmb:47  X:(195.58,196.08),  Y:(-43.51,-38.99),  Z:(194.60,195.11)
mzb:429, mmb:47  X:(199.84,200.04),  Y:(-43.51,-39.00),  Z:(194.64,194.84)
mzb:430, mmb:48  X:(199.89,205.02),  Y:(-45.00,-39.00),  Z:(194.73,194.93)
mzb:431, mmb:48  X:(210.83,215.96),  Y:(-45.00,-39.00),  Z:(200.26,200.46)
mzb:432, mmb:48  X:(209.90,213.40),  Y:(-45.00,-39.00),  Z:(159.92,163.93)
mzb:433, mmb:48  X:(179.17,183.87),  Y:(-45.00,-39.00),  Z:(158.43,160.84)
mzb:434, mmb:47  X:(183.19,183.88),  Y:(-43.49,-38.99),  Z:(160.71,161.40)
mzb:435, mmb:48  X:(239.29,244.14),  Y:(-45.00,-39.00),  Z:(195.19,197.24)
mzb:436, mmb:48  X:(236.23,239.65),  Y:(-44.98,-39.00),  Z:(196.79,201.66)
mzb:437, mmb:54  X:(237.30,244.00),  Y:(-41.30,-39.00),  Z:(174.13,177.88)
mzb:438, mmb:47  X:(242.86,243.54),  Y:(-43.49,-38.99),  Z:(170.52,171.21)
mzb:439, mmb:104  X:(212.50,214.00),  Y:(-55.49,-53.99),  Z:(219.24,220.74)
mzb:440, mmb:104  X:(221.69,223.56),  Y:(-47.13,-45.63),  Z:(230.71,232.58)
mzb:441, mmb:103  X:(221.99,223.33),  Y:(-48.11,-47.11),  Z:(230.93,232.27)
mzb:442, mmb:1  X:(270.17,270.67),  Y:(-48.13,-45.67),  Z:(185.80,186.30)
mzb:443, mmb:60  X:(226.61,227.83),  Y:(-50.75,-45.35),  Z:(215.77,221.37)
mzb:444, mmb:60  X:(250.62,256.22),  Y:(-50.75,-45.35),  Z:(187.38,188.45)
mzb:445, mmb:102  X:(245.89,247.39),  Y:(-43.46,-41.96),  Z:(172.32,173.82)
mzb:446, mmb:101  X:(245.76,246.97),  Y:(-42.97,-41.97),  Z:(173.91,175.12)
mzb:447, mmb:103  X:(249.43,250.84),  Y:(-46.45,-45.45),  Z:(175.69,177.10)
mzb:448, mmb:100  X:(249.94,252.51),  Y:(-46.39,-45.40),  Z:(173.36,175.39)
mzb:449, mmb:103  X:(252.09,253.15),  Y:(-49.54,-48.54),  Z:(171.42,172.48)
mzb:450, mmb:61  X:(220.06,221.96),  Y:(-47.18,-45.28),  Z:(215.92,216.06)
mzb:451, mmb:61  X:(214.06,215.96),  Y:(-47.18,-45.28),  Z:(213.99,214.14)
mzb:452, mmb:61  X:(218.06,219.96),  Y:(-47.18,-45.28),  Z:(213.99,214.14)
mzb:453, mmb:61  X:(212.06,213.96),  Y:(-47.18,-45.28),  Z:(213.99,214.14)
mzb:454, mmb:61  X:(216.06,217.96),  Y:(-47.18,-45.28),  Z:(213.99,214.14)
